gene_id	score	gene_type
ENSG00000069482.6	2.905359763	protein_coding
ENSG00000070018.7	2.904461528	protein_coding
ENSG00000234414.6	2.904233969	protein_coding
ENSG00000002587.8	2.903613313	protein_coding
ENSG00000198796.6	2.903524326	protein_coding
ENSG00000147655.9	2.902908867	protein_coding
ENSG00000183753.8	2.902218135	protein_coding
ENSG00000068745.13	2.901755757	protein_coding
ENSG00000157131.10	2.901714157	protein_coding
ENSG00000143376.11	2.901685303	protein_coding
ENSG00000157538.12	2.901552388	protein_coding
ENSG00000269343.5	2.900863377	protein_coding
ENSG00000135108.13	2.899341285	protein_coding
ENSG00000182156.8	2.899307252	protein_coding
ENSG00000205186.2	2.898931155	protein_coding
ENSG00000100503.22	2.89874399	protein_coding
ENSG00000214265.10	2.898564755	protein_coding
ENSG00000188316.12	2.898556899	protein_coding
ENSG00000102048.14	2.89819624	protein_coding
ENSG00000151689.11	2.898050382	protein_coding
ENSG00000131116.10	2.897566337	protein_coding
ENSG00000278129.1	2.897526006	protein_coding
ENSG00000105618.12	2.897221899	protein_coding
ENSG00000183018.7	2.896920222	protein_coding
ENSG00000196431.3	2.896352216	protein_coding
ENSG00000179813.5	2.895742353	protein_coding
ENSG00000168676.9	2.895429146	protein_coding
ENSG00000204711.7	2.895423485	protein_coding
ENSG00000243135.4	2.895353712	protein_coding
ENSG00000106628.9	2.893841293	protein_coding
ENSG00000154582.15	2.893621219	protein_coding
ENSG00000184937.11	2.893152705	protein_coding
ENSG00000174844.13	2.892841382	protein_coding
ENSG00000130413.14	2.892769657	protein_coding
ENSG00000148343.17	2.892455307	protein_coding
ENSG00000124429.16	2.891302105	protein_coding
ENSG00000001631.13	2.891181452	protein_coding
ENSG00000105227.13	2.891126996	protein_coding
ENSG00000064300.7	2.890943323	protein_coding
ENSG00000189091.11	2.890332473	protein_coding
ENSG00000187545.5	2.890159846	protein_coding
ENSG00000105825.10	2.889372377	protein_coding
ENSG00000267496.3	2.888234653	protein_coding
ENSG00000134153.8	2.888077537	protein_coding
ENSG00000183128.7	2.887908537	protein_coding
ENSG00000248333.6	2.887698949	protein_coding
ENSG00000160972.8	2.887686293	protein_coding
ENSG00000182578.12	2.887532371	protein_coding
ENSG00000189252.4	2.887462366	protein_coding
ENSG00000125084.10	2.887188167	protein_coding
ENSG00000160606.9	2.886803742	protein_coding
ENSG00000072201.12	2.88664056	protein_coding
ENSG00000170312.14	2.886600567	protein_coding
ENSG00000197233.7	2.886485068	protein_coding
